Actions,Current Date,Order No.,Account No.,Symbol,KK Symbol,Units,Amount,Withholding tax rate,Title Name,First Name,Last Name,Title Name (EN),First Name (EN),Last Name (EN),TaxID (PID),Client Bank Code,Client Bank Acc No.,Tel No.,Email,FC Name,FC Email,STN Type,Note Series,Underlying1,Underlying2,Underlying3,Underlying4,Underlying5,Underlying6,Strike Price 1,Strike Price 2,Strike Price 3,Strike Price 4,Strike Price 5,Strike Price 6,Barrier Price 1,Barrier Price 2,Barrier Price 3,Barrier Price 4,Barrier Price 5,Barrier Price 6,Protection Level,TTM (Days),Trading Days (Days),Exercise Type,Par Value,Offer Price %,Offer Price Amt,Initial Price %,Initial Price,Strike Price 1 %,Strike Price 2 %,Strike Price 3 %,Strike Price 4 %,Strike Price 5 %,Strike Price 6 %,Barrier Price 1 (%),Barrier Price 2 (%),Barrier Price 3 (%),Barrier Price 4 (%),Barrier Price 5 (%),Barrier Price 6 (%),PR 1 (per period),PR 2 (per period),Min Yield 1 (p.a.),Min Yield 2 (p.a.),Max Yield 1 (p.a.),Max Yield 2 (p.a.),Rebate (p.a.),Rebate (per period),Note Currency,Underlying Currency,Underlying Delivery Amt,Surplus Cash (THB),Subscription Begin Date,Subscription End Date,Trade Date,Effective Date,Settlement Date,Issue Date,Fixing Date,Maturtiy Date,Obs Date1,Obs Date2,Obs Date3,Obs Date4,Obs Date5,Obs Date6,Obs Date7,Obs Date8,Obs Date9,Obs Date10,Obs Date11,Obs Date12,Obs Date13,Obs Date14,Obs Date15,Obs Date16,Obs Date17,Obs Date18,Obs Date19,Obs Date20,Settlement Period,Settlement Method,Exchang Rate,Exchange 1,Exchange 2,Exchange 3
New Trade,1/4/2021,2021600012,78451263,KKBODN21O04Z,KKP21O04Z,5,5000000,15,นาย,ปุลภัทร,กรปริพัตน์,MR.,Punlapat,Kornparipat,3165874542047,KKP,31587499,081-111-1111;081-111-1112,Punlapat@gmail.com;Voranun@kkpfg.com,Kittiporn Sinsukthavorn,Kittiporn.Sins@kkpfg.com,BODN,1/2564,PTT,LH,CPALL,,,,40.00|8.00|69.00,,,,,,,,,,,, 100 ,182,,European,1000000, 100 ,5000000, 100 ,40.00|8.00|69.00, 100 ,,,,,,,,,,,,,, 0.25 ,, 1.50 ,,, 0.6232 ,THB,THB,,,1/4/2021,1/4/2021,1/4/2021,5/4/2021,5/4/2021,5/4/2021,30/9/2021,4/10/2021,,,,,,,,,,,,,,,,,,,,,2,C,,SET,,
New Trade,1/4/2021,2021600012,78451263,KKBODN21O04Z,KKP21O04Z,5,5000000,15,นาย,มหัทธน,ปานทอง,MR.,Mahattana,Pantong,3100200147477,KKP,30215478,081-111-1113,Mahattana@gmail.com,Kittiporn Sinsukthavorn,Kittiporn.Sins@kkpfg.com,BODN,1/2564,PTT,LH,CPALL,,,,40.00|8.00|69.00,,,,,,,,,,,, 100 ,182,,European,1000000, 100 ,5000000, 100 ,40.00|8.00|69.00, 100 ,,,,,,,,,,,,,, 0.25 ,, 1.50 ,,, 0.6232 ,THB,THB,,,1/4/2021,1/4/2021,1/4/2021,5/4/2021,5/4/2021,5/4/2021,30/9/2021,4/10/2021,,,,,,,,,,,,,,,,,,,,,2,C,,SET,,
New Trade,1/4/2021,2021600013,20135498,KKBODN21O04X,KKP21O04X,10,10000000,15,นาย,เอกณรงค์,อุไร,MR.,Eknarong,Urai,3100215478963,KKP,32548741,081-111-1112,Eknarong@gmail.com,Kittiporn Sinsukthavorn,Kittiporn.Sins@kkpfg.com,BODN,2/2564,PTT,LH,CPALL,,,,36.00|7.20|62.10,,,,,,,,,,,, 100 ,182,,European,1000000, 100 ,10000000, 100 ,40.00|8.00|69.00, 90 ,,,,,,,,,,,,,, 0.25 ,, 1.50 ,,, 0.6232 ,THB,THB,,,1/4/2021,1/4/2021,1/4/2021,5/4/2021,5/4/2021,5/4/2021,30/9/2021,4/10/2021,,,,,,,,,,,,,,,,,,,,,2,C,,SET,,
New Trade,1/4/2021,2021600015,25874136,KKDUAL210504X,KKP21504X,5,4950000,15,นาย,จิรัฎฐ์,คำทอง,MR.,Jirat,Khumthong,1454879652365,KKP,123456789,081-111-1111,Jirat.khum@gmail.com,Kittiporn Sinsukthavorn,Kittiporn.Sins@kkpfg.com,DUAL,3/2564,USDTHB,,,,,,30.00,,,,,,,,,,,,,29,,European,1000000, 99 ,4950000, 100 ,30, 100 ,,,,,,,,,,,,,,,, 12.59 ,,,,THB,THB,166666.67,,1/4/2021,1/4/2021,1/4/2021,5/4/2021,5/4/2021,5/4/2021,29/4/2021,4/5/2021,,,,,,,,,,,,,,,,,,,,,2,P,,,,
New Trade,1/4/2021,2021600016,15975347,KKDUAL210504W,KKP21504W,10,9940000,15,นางสาว,สราวุธ,จันทร์ทา,MRS.,Sarawuth,Chanta,1100547896360,KKP,987654321,081-111-1112,Sarawuth@gmail.com,Kittiporn Sinsukthavorn,Kittiporn.Sins@kkpfg.com,DUAL,4/2564,USDTHB,,,,,,29.94,,,,,,,,,,,,,29,,European,1000000, 99.40 ,9940000, 100 ,30, 99.80 ,,,,,,,,,,,,,,,, 10.07 ,,,,THB,THB,167000.67,,1/4/2021,1/4/2021,1/4/2021,5/4/2021,5/4/2021,5/4/2021,29/4/2021,4/5/2021,,,,,,,,,,,,,,,,,,,,,2,P,,,,
New Trade,1/4/2021,2021600017,56268472,KKSFIN21O04V,KKP21O04V,5,5000000,15,นาย,ขจรศักดิ์,พรมแสนปัง,MR.,Kajornsak,Promsanpang,1234567891234,KKP,123456789,081-111-1111,Kajornsak.pro@gmail.com,Kittiporn Sinsukthavorn,Kittiporn.Sins@kkpfg.com,SFIN,5/2564,GLD,,,,,,170.00,,,,,,195.50,,,,,, 95 ,182,,European,1000000, 100 ,5000000, 100 ,170, 100 ,,,,,, 115 ,,,,,, 100 ,,,, 36.10 ,,, 5.0000 ,THB,USD,,,1/4/2021,1/4/2021,1/4/2021,5/4/2021,5/4/2021,5/4/2021,30/9/2021,4/10/2021,,,,,,,,,,,,,,,,,,,,,3,C, 31.00 ,NYSE,,
New Trade,1/4/2021,2021600017,56268472,KKSFIN21O04R,KKP21O04R,5,5000000,15,นาย,จิรพงศ์,รุ่งทองคำกุล,MR.,Jirapong,Roongthongkamkul,1100400589633,KKP,54012589,081-111-1112,bb@gmail.com,Kittiporn Sinsukthavorn,Kittiporn.Sins@kkpfg.com,SFIN,7/2564,CPALL,,,,,,65.00,,,,,,71.50,,,,,, 100 ,182,,European,1000000, 100 ,5000000, 100 ,65, 100 ,,,,,, 110 ,,,,,, 20 ,,,, 4.01 ,,, 0.5000 ,THB,THB,,,1/4/2021,1/4/2021,1/4/2021,5/4/2021,5/4/2021,5/4/2021,30/9/2021,4/10/2021,,,,,,,,,,,,,,,,,,,,,2,C,,SET,,
New Trade,1/4/2021,2021600018,78963333,KKDRAN21O04U,KKP21O04U,5,5000000,15,นาย,สรวุฒิ,เกียรติคุณกาจร,MR.,Sorrawud,Grettikungumjon,1122022546988,KKP,23698547,081-111-1111,aa@gmail.com,Kittiporn Sinsukthavorn,Kittiporn.Sins@kkpfg.com,DRAN,6/2564,PTT,,,,,,38.00,42.00,,,,,,,,,,, 99 ,182,121,European,1000000, 100 ,5000000, 100 ,40, 95.00 , 105.00 ,,,,,,,,,,,,,,, 5.22 ,,, 3.6460 ,THB,THB,,,1/4/2021,1/4/2021,1/4/2021,5/4/2021,5/4/2021,5/4/2021,30/9/2021,4/10/2021,,,,,,,,,,,,,,,,,,,,,2,C,,SET,,
New Trade,1/4/2021,2021600019,12457569,KKDRAN21O04T,KKP21O04T,10,10000000,15,นาย,จิรพงศ์,รุ่งทองคำกุล,MR.,Jirapong,Roongthongkamkul,1100400589633,KKP,54012589,081-111-1112,bb@gmail.com,Kittiporn Sinsukthavorn,Kittiporn.Sins@kkpfg.com,DRAN,8/2564,PTT,,,,,,38.00,42.00,,,,,,,,,,, 99 ,182,121,European,1000000, 100 ,10000000, 100 ,40, 95.00 , 105.00 ,,,,,,,,,,,,,,, 5.22 ,,, 3.6460 ,THB,THB,,,1/4/2021,1/4/2021,1/4/2021,5/4/2021,5/4/2021,5/4/2021,30/9/2021,4/10/2021,,,,,,,,,,,,,,,,,,,,,2,C,,SET,,
New Trade,1/4/2021,2021600019,12457569,KKDRAN21O04T,KKP21O04T,10,10000000,15,นาย,ทดสอบ,ค่าการใช้งาน,MR.,Example,Values,1144111474147,KKP,54012590,081-111-1112,bb@gmail.com,Kittiporn Sinsukthavorn,Kittiporn.Sins@kkpfg.com,DRAN,8/2564,PTT,,,,,,38.00,42.00,,,,,,,,,,, 99 ,182,121,European,1000000, 100 ,10000000, 100 ,40, 95.00 , 105.00 ,,,,,,,,,,,,,,, 5.22 ,,, 3.6460 ,THB,THB,,,1/4/2021,1/4/2021,1/4/2021,5/4/2021,5/4/2021,5/4/2021,30/9/2021,4/10/2021,,,,,,,,,,,,,,,,,,,,,2,C,,SET,,
